algorithm_metric_id,algorithm_name,algorithm_version,metric_name,output,sample_type,start_date,end_date,country,population_name,population_details,sample_size,value,lower_ci95,upper_ci95,value_details,reference
11,PPD risk prediction model (Munk-Olsen et al),N/A,ROC AUC,Recorded contact to a psychiatric treatment facility or redeemed antidepressant prescriptions (6 months after childbirth),development,1/1/1997,12/31/2012,Denmark,Postpartum people,"""Danish population registers served as our data sources and PPD was defined as recorded contact to a psychiatric treatment facility (ICD-10 code DF32-33) or redeemed antidepressant prescriptions (ATC code N06A), resulting in a sample of 6,402 PPD cases (development sample) and 2,379 (validation sample).""",6402,0.809,0.804,0.815,For Ext+ model (table 3),"Munk-Olsen T, Liu X, Madsen KB, et al. Postpartum depression: a developed and validated model predicting individual risk in new mothers. Transl Psychiatry. 2022;12(1):1-10. doi:10.1038/s41398-022-02190-8
"
12,PPD risk prediction model (Munk-Olsen et al),N/A,ROC AUC,Recorded contact to a psychiatric treatment facility or redeemed antidepressant prescriptions (6 months after childbirth),validation,1/1/2013,12/31/2015,Denmark,Postpartum people,"""Danish population registers served as our data sources and PPD was defined as recorded contact to a psychiatric treatment facility (ICD-10 code DF32-33) or redeemed antidepressant prescriptions (ATC code N06A), resulting in a sample of 6,402 PPD cases (development sample) and 2,379 (validation sample).""",2379,0.812,0.804,0.820,For Ext+ model (table 3),"Munk-Olsen T, Liu X, Madsen KB, et al. Postpartum depression: a developed and validated model predicting individual risk in new mothers. Transl Psychiatry. 2022;12(1):1-10. doi:10.1038/s41398-022-02190-8
"
13,PPD risk prediction model (Munk-Olsen et al),N/A,ROC AUC,Recorded contact to a psychiatric treatment facility or redeemed antidepressant prescriptions (6 months after childbirth),development,1/1/1997,12/31/2012,Denmark,Postpartum people,"""Danish population registers served as our data sources and PPD was defined as recorded contact to a psychiatric treatment facility (ICD-10 code DF32-33) or redeemed antidepressant prescriptions (ATC code N06A), resulting in a sample of 6,402 PPD cases (development sample) and 2,379 (validation sample).""",6402,0.801 ,0.796,0.807,For Ext model (table 3),"Munk-Olsen T, Liu X, Madsen KB, et al. Postpartum depression: a developed and validated model predicting individual risk in new mothers. Transl Psychiatry. 2022;12(1):1-10. doi:10.1038/s41398-022-02190-8"
14,PPD risk prediction model (Munk-Olsen et al),N/A,ROC AUC,Recorded contact to a psychiatric treatment facility or redeemed antidepressant prescriptions (6 months after childbirth),validation,1/1/2013,12/31/2015,Denmark,Postpartum people,"""Danish population registers served as our data sources and PPD was defined as recorded contact to a psychiatric treatment facility (ICD-10 code DF32-33) or redeemed antidepressant prescriptions (ATC code N06A), resulting in a sample of 6,402 PPD cases (development sample) and 2,379 (validation sample).""",2379,0.808,0.800,0.816,For Ext model (table 3),"Munk-Olsen T, Liu X, Madsen KB, et al. Postpartum depression: a developed and validated model predicting individual risk in new mothers. Transl Psychiatry. 2022;12(1):1-10. doi:10.1038/s41398-022-02190-8"
15,PPD risk prediction model (Munk-Olsen et al),N/A,ROC AUC,Recorded contact to a psychiatric treatment facility or redeemed antidepressant prescriptions (6 months after childbirth),development,1/1/1997,12/31/2012,Denmark,Postpartum people,"""Danish population registers served as our data sources and PPD was defined as recorded contact to a psychiatric treatment facility (ICD-10 code DF32-33) or redeemed antidepressant prescriptions (ATC code N06A), resulting in a sample of 6,402 PPD cases (development sample) and 2,379 (validation sample).""",6402,0.795,0.790,0.802,For core model (table 3),"Munk-Olsen T, Liu X, Madsen KB, et al. Postpartum depression: a developed and validated model predicting individual risk in new mothers. Transl Psychiatry. 2022;12(1):1-10. doi:10.1038/s41398-022-02190-8"
16,PPD risk prediction model (Munk-Olsen et al),N/A,ROC AUC,Recorded contact to a psychiatric treatment facility or redeemed antidepressant prescriptions (6 months after childbirth),validation,1/1/2013,12/31/2015,Denmark,Postpartum people,"""Danish population registers served as our data sources and PPD was defined as recorded contact to a psychiatric treatment facility (ICD-10 code DF32-33) or redeemed antidepressant prescriptions (ATC code N06A), resulting in a sample of 6,402 PPD cases (development sample) and 2,379 (validation sample).""",2379,0.804 ,0.796,0.812,For core model (table 3),"Munk-Olsen T, Liu X, Madsen KB, et al. Postpartum depression: a developed and validated model predicting individual risk in new mothers. Transl Psychiatry. 2022;12(1):1-10. doi:10.1038/s41398-022-02190-8"
17,VBAC calculator (including race),N/A,ROC AUC,Successful vaginal delivery,validation,1/1/2016,12/31/2019,United States,Laboring people,"All patients who underwent a trial of labor after c-section between January 2016 and December 2019 in Mount Sanai Hospital in NYC; excluding multilple c-sections, multiple gestations, incomplete records, and/or missing race and ethnicity data",1241,0.77,NR,NR,"""Table 5 presents one model that uses Grobman et al.’s variables in predicting TOLAC success (model 1) and another that uses Grobman et al.’s variables except race and ethnicity (model 2). In the prior MFMU calculator, race and ethnicity were categorized as African-American, Hispanic, or Other. Our study stratified race into four categories; these four categories were used in model 1. In model 1, there was insufficient evidence to conclude that race and ethnicity were associated with the probability of successful TOLAC (p = 0.065). The area under the curve (AUC) was used to assess the predictive ability of each model. AUCs for models 1 and 2 were 0.77 and 0.78, respectively.""","Buckley A, Sestito S, Ogundipe T, et al. Racial and Ethnic Disparities Among Women Undergoing a Trial of Labor After Cesarean Delivery: Performance of the VBAC Calculator with and without Patients’ Race/Ethnicity. Reprod Sci. 2022;29(7):2030-2038. doi:10.1007/s43032-022-00959-2"
18,VBAC calculator (excluding race),N/A,ROC AUC,Successful vaginal delivery,validation,1/1/2016,12/31/2019,United States,Laboring people,"All patients who underwent a trial of labor after c-section between January 2016 and December 2019 in Mount Sanai Hospital in NYC; excluding multilple c-sections, multiple gestations, incomplete records, and/or missing race and ethnicity data",1241,0.78,NR,NR,"""Table 5 presents one model that uses Grobman et al.’s variables in predicting TOLAC success (model 1) and another that uses Grobman et al.’s variables except race and ethnicity (model 2). In the prior MFMU calculator, race and ethnicity were categorized as African-American, Hispanic, or Other. Our study stratified race into four categories; these four categories were used in model 1. In model 1, there was insufficient evidence to conclude that race and ethnicity were associated with the probability of successful TOLAC (p = 0.065). The area under the curve (AUC) was used to assess the predictive ability of each model. AUCs for models 1 and 2 were 0.77 and 0.78, respectively.""","Buckley A, Sestito S, Ogundipe T, et al. Racial and Ethnic Disparities Among Women Undergoing a Trial of Labor After Cesarean Delivery: Performance of the VBAC Calculator with and without Patients’ Race/Ethnicity. Reprod Sci. 2022;29(7):2030-2038. doi:10.1007/s43032-022-00959-2"
19,VBAC calculator (including race),N/A,ROC AUC,Successful vaginal delivery,validation,1/1/2018,12/31/2019,Israel,Laboring people,"""women admitted at a single university affiliated medical center, between January 1st, 2018 and December 31th 2019. All women carrying singleton, cephalic presentation pregnancy at term with previous one low transverse caesarean delivery (CD) who opt for trial of VBAC were included""",490,0.709,0.652,0.766,"""Compared to the original publication, the MFMU calculator underperformed for prediction of VBAC: ROC-AUC 0.709, 95% CI 0.652–0.766, p=0.00, with sensitivity 67.42%, specificity 65.96%, positive & negative predictive value 89.30% and 32.46%, respectively and total accuracy of 67.14%.""","Haggiag N, Eitan S, Maor-Sagie E, Hallak M, Gabbay-Benziv R. External validation of MFMUs vaginal birth after cesarean delivery calculator and construction of improved model. American Journal of Obstetrics & Gynecology. 2022;226(1):S311-S312. doi:10.1016/j.ajog.2021.11.524"
20,VBAC calculator (including race),N/A,sensitivity,Successful vaginal delivery,validation,1/1/2018,12/31/2019,Israel,Laboring people,"""women admitted at a single university affiliated medical center, between January 1st, 2018 and December 31th 2019. All women carrying singleton, cephalic presentation pregnancy at term with previous one low transverse caesarean delivery (CD) who opt for trial of VBAC were included""",490,0.6742,NR,NR,"""Compared to the original publication, the MFMU calculator underperformed for prediction of VBAC: ROC-AUC 0.709, 95% CI 0.652–0.766, p=0.00, with sensitivity 67.42%, specificity 65.96%, positive & negative predictive value 89.30% and 32.46%, respectively and total accuracy of 67.14%.""","Haggiag N, Eitan S, Maor-Sagie E, Hallak M, Gabbay-Benziv R. External validation of MFMUs vaginal birth after cesarean delivery calculator and construction of improved model. American Journal of Obstetrics & Gynecology. 2022;226(1):S311-S312. doi:10.1016/j.ajog.2021.11.524"
21,VBAC calculator (including race),N/A,specificity,Successful vaginal delivery,validation,1/1/2018,12/31/2019,Israel,Laboring people,"""women admitted at a single university affiliated medical center, between January 1st, 2018 and December 31th 2019. All women carrying singleton, cephalic presentation pregnancy at term with previous one low transverse caesarean delivery (CD) who opt for trial of VBAC were included""",490,0.6596,NR,NR,"""Compared to the original publication, the MFMU calculator underperformed for prediction of VBAC: ROC-AUC 0.709, 95% CI 0.652–0.766, p=0.00, with sensitivity 67.42%, specificity 65.96%, positive & negative predictive value 89.30% and 32.46%, respectively and total accuracy of 67.14%.""","Haggiag N, Eitan S, Maor-Sagie E, Hallak M, Gabbay-Benziv R. External validation of MFMUs vaginal birth after cesarean delivery calculator and construction of improved model. American Journal of Obstetrics & Gynecology. 2022;226(1):S311-S312. doi:10.1016/j.ajog.2021.11.524"
22,VBAC calculator (including race),N/A,positive predictive value,Successful vaginal delivery,validation,1/1/2018,12/31/2019,Israel,Laboring people,"""women admitted at a single university affiliated medical center, between January 1st, 2018 and December 31th 2019. All women carrying singleton, cephalic presentation pregnancy at term with previous one low transverse caesarean delivery (CD) who opt for trial of VBAC were included""",490,0.8930,NR,NR,"""Compared to the original publication, the MFMU calculator underperformed for prediction of VBAC: ROC-AUC 0.709, 95% CI 0.652–0.766, p=0.00, with sensitivity 67.42%, specificity 65.96%, positive & negative predictive value 89.30% and 32.46%, respectively and total accuracy of 67.14%.""","Haggiag N, Eitan S, Maor-Sagie E, Hallak M, Gabbay-Benziv R. External validation of MFMUs vaginal birth after cesarean delivery calculator and construction of improved model. American Journal of Obstetrics & Gynecology. 2022;226(1):S311-S312. doi:10.1016/j.ajog.2021.11.524"
23,VBAC calculator (including race),N/A,negative predictive value,Successful vaginal delivery,validation,1/1/2018,12/31/2019,Israel,Laboring people,"""women admitted at a single university affiliated medical center, between January 1st, 2018 and December 31th 2019. All women carrying singleton, cephalic presentation pregnancy at term with previous one low transverse caesarean delivery (CD) who opt for trial of VBAC were included""",490,0.3246,NR,NR,"""Compared to the original publication, the MFMU calculator underperformed for prediction of VBAC: ROC-AUC 0.709, 95% CI 0.652–0.766, p=0.00, with sensitivity 67.42%, specificity 65.96%, positive & negative predictive value 89.30% and 32.46%, respectively and total accuracy of 67.14%.""","Haggiag N, Eitan S, Maor-Sagie E, Hallak M, Gabbay-Benziv R. External validation of MFMUs vaginal birth after cesarean delivery calculator and construction of improved model. American Journal of Obstetrics & Gynecology. 2022;226(1):S311-S312. doi:10.1016/j.ajog.2021.11.524"
24,VBAC calculator (including race),N/A,accuracy,Successful vaginal delivery,validation,1/1/2018,12/31/2019,Israel,Laboring people,"""women admitted at a single university affiliated medical center, between January 1st, 2018 and December 31th 2019. All women carrying singleton, cephalic presentation pregnancy at term with previous one low transverse caesarean delivery (CD) who opt for trial of VBAC were included""",490,0.6714,NR,NR,"""Compared to the original publication, the MFMU calculator underperformed for prediction of VBAC: ROC-AUC 0.709, 95% CI 0.652–0.766, p=0.00, with sensitivity 67.42%, specificity 65.96%, positive & negative predictive value 89.30% and 32.46%, respectively and total accuracy of 67.14%.""","Haggiag N, Eitan S, Maor-Sagie E, Hallak M, Gabbay-Benziv R. External validation of MFMUs vaginal birth after cesarean delivery calculator and construction of improved model. American Journal of Obstetrics & Gynecology. 2022;226(1):S311-S312. doi:10.1016/j.ajog.2021.11.524"
25,VBAC calculator (excluding race),N/A,ROC AUC,Successful vaginal delivery,validation,1/1/1999,12/31/2002,United States,Laboring people,"""individuals were included in this analysis if they were delivered on or after 37 0/7 weeks’ gestation with a live singleton cephalic fetus at the time of labor and delivery admission, had a trial of labor after cesarean delivery, and had a history of 1 previous low-transverse cesarean delivery""",11687,0.75,0.74,0.77,"""The model had excellent calibration between predicted and empirical probabilities and, when applied to the overall analytical population, an area under the receiver operating characteristic curve of 0.75 (95% confidence interval, 0.74–0.77)""","Grobman WA, Sandoval G, Rice MM, et al. Prediction of vaginal birth after cesarean delivery in term gestations: a calculator without race and ethnicity. American Journal of Obstetrics & Gynecology. 2021;225(6):664.e1-664.e7. doi:10.1016/j.ajog.2021.05.021
"
26,VBAC calculator (excluding race),N/A,ROC AUC,Successful vaginal delivery,validation,1/1/2012,12/31/2021,Japan,Laboring people,"""Japanese women with a single pregnancy with cephalic presentation at a gestational age of >37 weeks who had previously undergone only 1 lower segment cesarean delivery and who had attempted trial of labor after cesarean delivery (TOLAC)""",94,0.76,0.66,0.86,"""During the study period, 94 women attempted TOLAC. Of these, 70 had a vaginal delivery with a success rate of 74.5%. Clinical characteristics are shown in the Table. Our sample size was sufficient with 99% power. Using the above variables, we determined that the AUC was 0.76 (95% confidence interval, 0.66–0.86), as shown in the Figure. This result was similar to that reported by Grobman et al""","Sugai S, Nishijima K. Validating a calculator without race and ethnicity to predict vaginal birth after cesarean delivery. American Journal of Obstetrics & Gynecology. 2022;227(3):537-538. doi:10.1016/j.ajog.2022.05.017"
27,Stanford CBC (Hematrocrit) model,N/A,ROC AUC,Abnormal Hematrocrit lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.86,0.85,0.88,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
28,Stanford CBC (Hemoglobin) model,N/A,ROC AUC,Abnormal Hemoglobin lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.88,0.86,0.89,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
29,Stanford CBC (Platelets) model,N/A,ROC AUC,Abnormal Platelet lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.79,0.77,0.82,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
30,Stanford CBC (White blood cell) model,N/A,ROC AUC,Abnormal White blood cell lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.76,0.74,0.79,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
31,Stanford Metabolic panel (Albumin) model,N/A,ROC AUC,Abnormal Albumin lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.88,0.86,0.91,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
32,Stanford Metabolic panel (Blood urea nitrogen) model,N/A,ROC AUC,Abnormal Blood urea nitrogen lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.85,0.83,0.87,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
33,Stanford Metabolic panel (Calcium) model,N/A,ROC AUC,Abnormal Calcium lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.80,0.76,0.83,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
34,Stanford Metabolic panel (Carbon dioxide) model,N/A,ROC AUC,Abnormal Carbon dioxide lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.69,0.66,0.72,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
35,Stanford Metabolic panel (Creatinine) model,N/A,ROC AUC,Abnormal Creatinine lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.78,0.75,0.80,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
36,Stanford Metabolic panel (Potassium),N/A,ROC AUC,Abnormal Potassium lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.67,0.61,0.72,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
37,Stanford Metabolic panel (Sodium) model,N/A,ROC AUC,Abnormal Sodium lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.79,0.75,0.82,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
38,Stanford Magnesium model,N/A,ROC AUC,Abnormal Magnesium lab value,validation,1/1/2019,12/31/2021,United States,Adult,"""retrospective cohorts contained data from 2015 to 2021, with two thousand diagnostic tests sampled randomly per year for a total of 14,000 orders per task """,14000,0.70,0.67,0.73,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
39,Stanford CBC (Hematrocrit) model,N/A,ROC AUC,Abnormal Hematrocrit lab value,real-world use,1/1/2019,12/31/2021,United States,Adult,"""Prospective cohorts were collected in real-time through Epic Chronicles as diagnostic orders triggered model inferences between January 11 and February 15, 2023""",18982,0.83,0.83,0.84,See Table 2,"Corbin CK, Maclay R, Acharya A, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record. Published online March 10, 2023. Accessed July 21, 2023. http://arxiv.org/abs/2303.06269
"
