algorithm_name,brief_description,developer,is_fda_authorized,fda_authorization_pathway,year_developed,references,references_airtable,performance metrics,inputs,outputs
Stanford Metabolic panel (Albumin) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"31,43,55,67,79,91",Medical record data,Abnormal Albumin lab value
Stanford Metabolic panel (Blood urea nitrogen) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"32,44,56,68,80,92",Medical record data,Abnormal Blood urea nitrogen lab value
Stanford Metabolic panel (Calcium) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"33,45,57,69,81,93",Medical record data,Abnormal Calcium lab value
Stanford Metabolic panel (Carbon dioxide) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"34,46,58,70,82,94",Medical record data,Abnormal Carbon dioxide lab value
Stanford Metabolic panel (Creatinine) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"35,47,59,71,83,95",Medical record data,Abnormal Creatinine lab value
Stanford Metabolic panel (Sodium) model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"37,49,61,73,85,97",Medical record data,Abnormal Sodium lab value
Stanford Magnesium model,“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"38,50,62,74,86,98",Medical record data,Abnormal Magnesium lab value
Stanford Metabolic panel (Potassium),“predict whether the test result would fall outside the clinical laboratory defined normal reference range” ,Stanford Health Care,FALSE,,2023,"Corbin CK, Maclay R, Acharya A, Mony S, Punnathanam S, Thapa R, et al. DEPLOYR: A technical framework for deploying custom real-time machine learning models into the electronic medical record [Internet]. arXiv; 2023 [cited 2023 Jul 21]. Available from: http://arxiv.org/abs/2303.06269",2303.06269.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/g-RTjS2gc9AVxGO9FMyqYw/6TzDbOLajVliZ_OI3KN8CNXablAAA6OVFgOs5WjtfBBDgERZco_ONoV2BhN0U1NgHE0N_RyUqQKO2sbRgbboY48Kx2Pp_Ns1PoU2r2EOVug/WeQhxSUdBmSQ2viXQZNXW4E7-tpavOKhW6mqglI7EOE),"36,48,60,72,84,96",Medical record data,Abnormal Potassium lab value
IDx-DR,"""automatically detect more than mild diabetic retinopathy (mtmDR) in adults diagnosed with diabetes who have not been previously diagnosed with diabetic retinopathy""",Digital Diagnostics Inc.,TRUE,De Novo,2018,U.S. Food & Drug Administration. De Novo Classification Request for IDX-DR. 2018. ,"K213037.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/ZHgBVo7N8QFUId9yx5yMtQ/HXmEZsIakTCgDpYvZKZWNtMF-waZqZwJdaB4ZE7S3zy0Snma42fCrehTbbqJCHgE5jFm5BIFqYZ6AJrPC7QtbWQl0frynzmx5zozwr-IHXE/egpi_P5ar56Ot3NKkxjkEdrtrkHlvtPsjrvioNJtkfA),DEN180001.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/Z7gZxc8TbDu5Fbij11692g/Io3rnyHT2zJZE1ZXEQDzWCfJ7JU-YjF4GY_nmwj5t4y0tZG3D6X9zgQwdxd-8qcUta7rzsIKW_Us0ftydw0BrQ8Gx02tWKcP7fVvhMOWRjE/aAFVo_X0eXkFYYiEjv-LBPn97CRRMVi9iKTzRWamFCc)","116,117,118,119,120,121,122,123,124,125,126,127",Retinal fundus images,Diagnosis of more than mild diabetic retinopathy (mtmDR)
EyeArt,"""automatically detect more than mild diabetic retinopathy and vision-threatening retinopathy in eyes of adults diagnosed with diabetes who have not been previously diagnosed with diabetic retinopathy""","Eyenuk, Inc.",TRUE,510(k),2020,"U.S. Food & Drug Administration. Premarket Notification, 510(k). EyeArt. 2020. 
",K200667.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/llDqoKnD7FW7FTGZ000_ew/COJ0RRQaE0zgMIj03_j0P0hXsmL3uWYOc5034D3tPheH8mkWc5cYapErVShWT7WfvWh9QGukA7qjYFgBQWZLkriWVcYFfEXTk6IVroKXNvM/25JIE_zg1Tkpun4Lup1WXqD9Qv2SHUqBKHqj8VXMbpE),"128,129,130,131,132,133,134,15",Retinal fundus images,Diagnosis of more than mild diabetic retinopathy (mtmDR)
BriefCase for iPE Triage,"""BriefCase is a radiological computer aided triage and notification software indicated for use in the analysis of contrast enhanced chest CT images (but not dedicated CTPA protocol) CT. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive cases of Incidental Pulmonary Embolism (iPE) pathologies.""","Aidoc Medical, Ltd.",TRUE,510(k),2020,"U.S. Food & Drug Administration. Premarket Notification, 510(k). BriefCase for iPE Triage. 2020. ",K201020.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/nYIjtB9Shw7eIQSI2z_ywg/aq0jK_X9TUMi64-bh1I0S1yp-fEtreOG8ihh3CgaGERXSLxZyulYe6bYLZVMbA2p2JdO6_guUiYeVpcJkZITrpsQhPM8hr8MfIH0YrfgL70/_47fnBfyFwEHKvAs-PVRFSW_Gz3aoTs6R9fPz3gLnXg),"137,138,139,140,141,142",CT scan,Incidental Pulmonary Embolism (iPE) pathology
AWOL Tool,"AWOL was developed as a ""tool to predict the likelihood of developing delirium during hospitalization.""",Academic researchers (Douglas et al),FALSE,,2013,"Douglas VC, Hessler CS, Dhaliwal G, Betjemann JP, Fukuda KA, Alameddine LR, et al. The AWOL tool: Derivation and validation of a delirium prediction rule. Journal of Hospital Medicine. 2013 Sep;8(9):493–9. 
",Journal of Hospital Medicine - 2013 - Douglas.pdf (https://v5.airtableusercontent.com/v1/21/21/1695700800000/2A4TcQv3XKfQYyizkyUzfA/Y-ENdJeIU3vGrG5iVkX_gOGyEVjWoKEpuqbJ1j0tNX8uYGEmeb9WJefpHDvEY95I45ElqBp5HPNNkerhgIoRxHwU1NfXnD8jvD32jqHhkUSKrCQk4MdGn2qmMym0tRXTmJKNArOAcUywWFEXE-Tmow/I1OPjDTUPnpikjaVRTmD9P8hBlfVNzCI6cMr9xJDm_k),"143,144,145,146,147,148,149,150,151,152,153","Age >= 80,Inability to spell WORLD backwards,Disorientation to place,Moderate to severe level of illness based on subjective nursing rating",Inpatient delerium
,,,,,,,,,,
